"Age","LearningCategorySelftTaught","LearningCategoryOnlineCourses","LearningCategoryWork","LearningCategoryUniversity","LearningCategoryKaggle","GenderSelect","Country","EmploymentStatus","DataScienceIdentitySelect","FormalEducation","MajorSelect","Tenure","FirstTrainingSelect","ParentsEducation","EmployerIndustry","EmployerSize","EmployerSizeChange","EmployerMLTime","EmployerSearchMethod","RemoteWork","CompensationAmount","CompensationCurrency.x","FormalEducation_Q","Tenure_Q","EmployerSize_Q","CompensationCurrency.y","...1","exchangeRate","frac","Salary_USD","Compensation_Median_USD","Median_to_Salary"
27,10,0,30,40,0,"Male","India","Employed full-time","","Bachelor's degree","Electrical Engineering","3 to 5 years","University courses","","Mix of fields","100 to 499 employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",95000,"INR",4,3,4,"RUB",6,0.017402,0,19838.28,28116,1.41725996406947
27,10,0,30,40,0,"Male","India","Employed full-time","","Bachelor's degree","Electrical Engineering","3 to 5 years","University courses","","Mix of fields","100 to 499 employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",95000,"INR",4,3,4,"USD",1,1,0.04,95000,28116,0.295957894736842
26,50,50,0,0,0,"Male","Taiwan","Employed full-time","No","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Financial","Fewer than 10 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",1100000,"TWD",5,2,1,"TWD",16,0.033304,0.74,36634.4,42647.6,1.164140807547
26,50,50,0,0,0,"Male","Taiwan","Employed full-time","No","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Financial","Fewer than 10 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",1100000,"TWD",5,2,1,"USD",1,1,0.26,1100000,42647.6,0.0387705454545455
25,30,20,0,50,0,"Male","United States","Employed part-time","Yes","Bachelor's degree","Physics","3 to 5 years","University courses","A master's degree","Academic","I don't know","Increased significantly","Don't know","Some other way","Sometimes",20000,"USD",4,3,10,"AMD",46,0.00209,0,501.6,1956.24,3.9
25,30,20,0,50,0,"Male","United States","Employed part-time","Yes","Bachelor's degree","Physics","3 to 5 years","University courses","A master's degree","Academic","I don't know","Increased significantly","Don't know","Some other way","Sometimes",20000,"USD",4,3,10,"USD",1,1,1,20000,1956.24,0.097812
33,10,30,0,10,50,"Male","United States","Employed full-time","No","Doctoral degree","Electrical Engineering","Less than a year","Kaggle competitions","A bachelor's degree","Telecommunications","Fewer than 10 employees","Increased slightly","Don't know","A friend, family member, or former colleague told me","Sometimes",1e+05,"USD",6,1,1,"AMD",46,0.00209,0,209,1956.24,9.36
33,10,30,0,10,50,"Male","United States","Employed full-time","No","Doctoral degree","Electrical Engineering","Less than a year","Kaggle competitions","A bachelor's degree","Telecommunications","Fewer than 10 employees","Increased slightly","Don't know","A friend, family member, or former colleague told me","Sometimes",1e+05,"USD",6,1,1,"USD",1,1,1,1e+05,1956.24,0.0195624
21,55,30,10,5,0,"Male","Czech Republic","Employed part-time","Sort of (Explain more)","Some college/university study without earning a bachelor's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","A professional degree","Academic","Fewer than 10 employees","Stayed the same","Don't know","A friend, family member, or former colleague told me","Always",20000,"CZK",3,1,1,"CZK",28,0.04582,0.86,916.4,43529,47.5
21,55,30,10,5,0,"Male","Czech Republic","Employed part-time","Sort of (Explain more)","Some college/university study without earning a bachelor's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","A professional degree","Academic","Fewer than 10 employees","Stayed the same","Don't know","A friend, family member, or former colleague told me","Always",20000,"CZK",3,1,1,"USD",1,1,0.14,20000,43529,2.17645
22,10,60,0,20,10,"Male","Russia","Employed full-time","Yes","Bachelor's degree","Information technology, networking, or system administration","1 to 2 years","University courses","A professional degree","Mix of fields","5,000 to 9,999 employees","Increased significantly","3-5 years","A friend, family member, or former colleague told me","Rarely",624000,"RUB",4,2,7,"EUR",2,1.195826,0.03,746195.424,71749.56,0.0961538461538461
22,10,60,0,20,10,"Male","Russia","Employed full-time","Yes","Bachelor's degree","Information technology, networking, or system administration","1 to 2 years","University courses","A professional degree","Mix of fields","5,000 to 9,999 employees","Increased significantly","3-5 years","A friend, family member, or former colleague told me","Rarely",624000,"RUB",4,2,7,"RUB",6,0.017402,0.76,10858.848,71749.56,6.60747438402306
22,10,60,0,20,10,"Male","Russia","Employed full-time","Yes","Bachelor's degree","Information technology, networking, or system administration","1 to 2 years","University courses","A professional degree","Mix of fields","5,000 to 9,999 employees","Increased significantly","3-5 years","A friend, family member, or former colleague told me","Rarely",624000,"RUB",4,2,7,"USD",1,1,0.21,624000,71749.56,0.114983269230769
34,20,30,50,0,0,"Male","Colombia","Employed full-time","","Master's degree","Computer Science","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Financial","10,000 or more employees","Increased significantly","6-10 years","A friend, family member, or former colleague told me","Rarely",1.56e+08,"COP",5,3,8,"COP",17,0.000342,0.8,53352,52155,0.977564102564103
34,20,30,50,0,0,"Male","Colombia","Employed full-time","","Master's degree","Computer Science","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Financial","10,000 or more employees","Increased significantly","6-10 years","A friend, family member, or former colleague told me","Rarely",1.56e+08,"COP",5,3,8,"USD",1,1,0.2,1.56e+08,52155,0.000334326923076923
41,40,0,40,0,20,"Male","Germany","Independent contractor, freelancer, or self-employed","","I did not complete any formal education past high school","","More than 10 years","Work","A doctoral degree","Internet-based","","","","","Sometimes",150000,"EUR",1,5,NA,"EUR",2,1.195826,0.99,179373.9,65770.43,0.366666666666667
41,40,0,40,0,20,"Male","Germany","Independent contractor, freelancer, or self-employed","","I did not complete any formal education past high school","","More than 10 years","Work","A doctoral degree","Internet-based","","","","","Sometimes",150000,"EUR",1,5,NA,"USD",1,1,0.01,150000,65770.43,0.438469533333333
29,20,50,10,10,10,"Male","Poland","Employed full-time","Sort of (Explain more)","Master's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Pharmaceutical","20 to 99 employees","Increased significantly","1-2 years","I visited the company's Web site and found a job listing there","Rarely",126000,"PLN",5,1,3,"EUR",2,1.195826,0.04,150674.076,59895.65,0.397517951263229
29,20,50,10,10,10,"Male","Poland","Employed full-time","Sort of (Explain more)","Master's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Pharmaceutical","20 to 99 employees","Increased significantly","1-2 years","I visited the company's Web site and found a job listing there","Rarely",126000,"PLN",5,1,3,"PLN",11,0.281104,0.92,35419.104,59895.65,1.69105491770769
29,20,50,10,10,10,"Male","Poland","Employed full-time","Sort of (Explain more)","Master's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Pharmaceutical","20 to 99 employees","Increased significantly","1-2 years","I visited the company's Web site and found a job listing there","Rarely",126000,"PLN",5,1,3,"USD",1,1,0.04,126000,59895.65,0.475362301587302
36,20,10,20,50,0,"Male","United Kingdom","Employed full-time","","Doctoral degree","Electrical Engineering","More than 10 years","University courses","A professional degree","Financial","10,000 or more employees","Increased significantly","6-10 years","An external recruiter or headhunter","Rarely",130000,"GBP",6,5,8,"EUR",2,1.195826,0.01,155457.38,59588.46,0.383310589693458
36,20,10,20,50,0,"Male","United Kingdom","Employed full-time","","Doctoral degree","Electrical Engineering","More than 10 years","University courses","A professional degree","Financial","10,000 or more employees","Increased significantly","6-10 years","An external recruiter or headhunter","Rarely",130000,"GBP",6,5,8,"GBP",4,1.324188,0.96,172144.44,59588.46,0.346153846153846
36,20,10,20,50,0,"Male","United Kingdom","Employed full-time","","Doctoral degree","Electrical Engineering","More than 10 years","University courses","A professional degree","Financial","10,000 or more employees","Increased significantly","6-10 years","An external recruiter or headhunter","Rarely",130000,"GBP",6,5,8,"USD",1,1,0.02,130000,59588.46,0.458372769230769
35,10,50,15,0,25,"Male","United States","Employed full-time","Sort of (Explain more)","Doctoral degree","Physics","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Technology","10,000 or more employees","Decreased significantly","3-5 years","A friend, family member, or former colleague told me","Rarely",133000,"USD",6,3,8,"AMD",46,0.00209,0,277.97,1956.24,7.03759398496241
35,10,50,15,0,25,"Male","United States","Employed full-time","Sort of (Explain more)","Doctoral degree","Physics","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Technology","10,000 or more employees","Decreased significantly","3-5 years","A friend, family member, or former colleague told me","Rarely",133000,"USD",6,3,8,"USD",1,1,1,133000,1956.24,0.0147085714285714
37,40,0,58,2,0,"Male","Sweden","Employed full-time","Yes","Master's degree","Electrical Engineering","More than 10 years","University courses","A bachelor's degree","Technology","10,000 or more employees","Increased significantly","More than 10 years","An external recruiter or headhunter","Sometimes",80000,"USD",5,5,8,"SEK",25,0.125204,0.8,120195.84,101333.64,0.843071107951823
37,40,0,58,2,0,"Male","Sweden","Employed full-time","Yes","Master's degree","Electrical Engineering","More than 10 years","University courses","A bachelor's degree","Technology","10,000 or more employees","Increased significantly","More than 10 years","An external recruiter or headhunter","Sometimes",80000,"USD",5,5,8,"USD",1,1,0.2,80000,101333.64,1.2666705
30,40,5,25,0,30,"Male","Portugal","Employed full-time","","Master's degree","Physics","3 to 5 years","Kaggle competitions","A master's degree","Technology","10,000 or more employees","Stayed the same","More than 10 years","A general-purpose job board","Most of the time",30000,"EUR",5,3,8,"EUR",2,1.195826,1,35874.78,28699.824,0.8
26,50,20,25,5,0,"Male","Mexico","Employed part-time","","Some college/university study without earning a bachelor's degree","A social science","1 to 2 years","Self-taught","A bachelor's degree","Technology","Fewer than 10 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",2e+05,"MXN",3,2,1,"MXN",15,0.056414,0.86,11282.8,37601.168,3.33260963590598
26,50,20,25,5,0,"Male","Mexico","Employed part-time","","Some college/university study without earning a bachelor's degree","A social science","1 to 2 years","Self-taught","A bachelor's degree","Technology","Fewer than 10 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",2e+05,"MXN",3,2,1,"USD",1,1,0.14,2e+05,37601.168,0.18800584
31,35,20,15,30,0,"Male","Iran","Employed part-time","Yes","Doctoral degree","Computer Science","1 to 2 years","University courses","A doctoral degree","Technology","20 to 99 employees","Increased slightly","1-2 years","A friend, family member, or former colleague told me","Sometimes",15000,"USD",6,2,3,"IRR",24,3e-05,0.85,0.45,24000,53333.3333333333
31,35,20,15,30,0,"Male","Iran","Employed part-time","Yes","Doctoral degree","Computer Science","1 to 2 years","University courses","A doctoral degree","Technology","20 to 99 employees","Increased slightly","1-2 years","A friend, family member, or former colleague told me","Sometimes",15000,"USD",6,2,3,"USD",1,1,0.15,15000,24000,1.6
29,15,20,25,20,10,"Male","India","Employed full-time","","Master's degree","Computer Science","3 to 5 years","University courses","A master's degree","Technology","10,000 or more employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",120000,"INR",5,3,8,"INR",3,0.01562,0.94,22492.8,28116,1.25
29,15,20,25,20,10,"Male","India","Employed full-time","","Master's degree","Computer Science","3 to 5 years","University courses","A master's degree","Technology","10,000 or more employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",120000,"INR",5,3,8,"RON",43,0.259964,0,31195.68,28116,0.901278638580727
29,15,20,25,20,10,"Male","India","Employed full-time","","Master's degree","Computer Science","3 to 5 years","University courses","A master's degree","Technology","10,000 or more employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",120000,"INR",5,3,8,"RSD",45,0.01002,0.01,14428.8,28116,1.94860279441118
29,15,20,25,20,10,"Male","India","Employed full-time","","Master's degree","Computer Science","3 to 5 years","University courses","A master's degree","Technology","10,000 or more employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",120000,"INR",5,3,8,"RUB",6,0.017402,0,25058.88,28116,1.12199747155499
29,15,20,25,20,10,"Male","India","Employed full-time","","Master's degree","Computer Science","3 to 5 years","University courses","A master's degree","Technology","10,000 or more employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",120000,"INR",5,3,8,"USD",1,1,0.04,120000,28116,0.2343
25,30,0,10,30,30,"Male","France","Employed full-time","","Master's degree","Mathematics or statistics","3 to 5 years","Self-taught","High school","Financial","1,000 to 4,999 employees","Increased slightly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",1e+05,"EUR",5,3,6,"EUR",2,1.195826,0.99,119582.6,51420.518,0.43
25,30,0,10,30,30,"Male","France","Employed full-time","","Master's degree","Mathematics or statistics","3 to 5 years","Self-taught","High school","Financial","1,000 to 4,999 employees","Increased slightly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",1e+05,"EUR",5,3,6,"USD",1,1,0.01,1e+05,51420.518,0.51420518
38,60,5,35,0,0,"Male","Spain","Employed full-time","","Doctoral degree","Computer Science","6 to 10 years","University courses","High school","Mix of fields","10 to 19 employees","Increased significantly","3-5 years","I visited the company's Web site and found a job listing there","Sometimes",36000,"EUR",6,4,2,"EUR",2,1.195826,0.98,43049.736,41250,0.958194029343176
38,60,5,35,0,0,"Male","Spain","Employed full-time","","Doctoral degree","Computer Science","6 to 10 years","University courses","High school","Mix of fields","10 to 19 employees","Increased significantly","3-5 years","I visited the company's Web site and found a job listing there","Sometimes",36000,"EUR",6,4,2,"USD",1,1,0.02,36000,41250,1.14583333333333
40,90,10,0,0,0,"Male","United States","Employed full-time","Yes","Doctoral degree","Physics","More than 10 years","Self-taught","","Technology","100 to 499 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Rarely",215000,"USD",6,5,4,"AMD",46,0.00209,0,449.35,1956.24,4.35348837209302
40,90,10,0,0,0,"Male","United States","Employed full-time","Yes","Doctoral degree","Physics","More than 10 years","Self-taught","","Technology","100 to 499 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Rarely",215000,"USD",6,5,4,"USD",1,1,1,215000,1956.24,0.00909879069767442
25,70,10,10,5,5,"Male","United States","Employed full-time","Sort of (Explain more)","Master's degree","Engineering (non-computer focused)","3 to 5 years","Self-taught","","CRM/Marketing","1,000 to 4,999 employees","Increased significantly","Less than one year","I visited the company's Web site and found a job listing there","",61000,"HKD",5,3,6,"AMD",46,0.00209,0,1529.88,1956.24,1.27868852459016
25,70,10,10,5,5,"Male","United States","Employed full-time","Sort of (Explain more)","Master's degree","Engineering (non-computer focused)","3 to 5 years","Self-taught","","CRM/Marketing","1,000 to 4,999 employees","Increased significantly","Less than one year","I visited the company's Web site and found a job listing there","",61000,"HKD",5,3,6,"USD",1,1,1,61000,1956.24,0.0320695081967213
44,35,50,15,0,0,"Male","Germany","Employed full-time","No","Master's degree","A humanities discipline","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","High school","Internet-based","500 to 999 employees","Increased slightly","Less than one year","A general-purpose job board","Rarely",65000,"EUR",5,3,5,"EUR",2,1.195826,0.99,77728.69,65770.43,0.846153846153846
44,35,50,15,0,0,"Male","Germany","Employed full-time","No","Master's degree","A humanities discipline","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","High school","Internet-based","500 to 999 employees","Increased slightly","Less than one year","A general-purpose job board","Rarely",65000,"EUR",5,3,5,"USD",1,1,0.01,65000,65770.43,1.01185276923077
31,20,30,50,0,0,"Female","United States","Employed full-time","Yes","Doctoral degree","Engineering (non-computer focused)","6 to 10 years","Self-taught","A master's degree","Academic","500 to 999 employees","Increased slightly","6-10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",83500,"USD",6,4,5,"AMD",46,0.00209,0,174.515,1956.24,11.2095808383234
31,20,30,50,0,0,"Female","United States","Employed full-time","Yes","Doctoral degree","Engineering (non-computer focused)","6 to 10 years","Self-taught","A master's degree","Academic","500 to 999 employees","Increased slightly","6-10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",83500,"USD",6,4,5,"USD",1,1,1,83500,1956.24,0.0234280239520958
39,15,0,30,55,0,"Female","United States","Employed full-time","Yes","Master's degree","Engineering (non-computer focused)","1 to 2 years","University courses","A bachelor's degree","Insurance","10,000 or more employees","Stayed the same","3-5 years","A general-purpose job board","Sometimes",115000,"USD",5,2,8,"AMD",46,0.00209,0,240.35,1956.24,8.13913043478261
39,15,0,30,55,0,"Female","United States","Employed full-time","Yes","Master's degree","Engineering (non-computer focused)","1 to 2 years","University courses","A bachelor's degree","Insurance","10,000 or more employees","Stayed the same","3-5 years","A general-purpose job board","Sometimes",115000,"USD",5,2,8,"USD",1,1,1,115000,1956.24,0.0170107826086957
40,40,20,40,0,0,"Male","Hungary","Employed full-time","Sort of (Explain more)","Doctoral degree","A social science","3 to 5 years","University courses","A doctoral degree","Academic","100 to 499 employees","Stayed the same","More than 10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Most of the time",4e+06,"HUF",6,3,4,"HUF",26,0.003896,1,15584,14493.12,0.93
30,5,75,0,20,0,"Female","United States","Employed full-time","No","Bachelor's degree","","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","CRM/Marketing","100 to 499 employees","Stayed the same","Less than one year","A general-purpose job board","Rarely",80000,"USD",4,2,4,"AMD",46,0.00209,0,167.2,1956.24,11.7
30,5,75,0,20,0,"Female","United States","Employed full-time","No","Bachelor's degree","","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","CRM/Marketing","100 to 499 employees","Stayed the same","Less than one year","A general-purpose job board","Rarely",80000,"USD",4,2,4,"USD",1,1,1,80000,1956.24,0.024453
50,0,0,60,40,0,"Male","United States","Employed full-time","Yes","Doctoral degree","Mathematics or statistics","More than 10 years","University courses","High school","Insurance","500 to 999 employees","Increased significantly","6-10 years","Some other way","Rarely",135000,"USD",6,5,5,"AMD",46,0.00209,0,282.15,1956.24,6.93333333333333
50,0,0,60,40,0,"Male","United States","Employed full-time","Yes","Doctoral degree","Mathematics or statistics","More than 10 years","University courses","High school","Insurance","500 to 999 employees","Increased significantly","6-10 years","Some other way","Rarely",135000,"USD",6,5,5,"USD",1,1,1,135000,1956.24,0.0144906666666667
59,20,80,0,0,0,"Male","United States","Independent contractor, freelancer, or self-employed","","Master's degree","Physics","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Other","","","","","Most of the time",75000,"USD",5,2,NA,"AMD",46,0.00209,0,1881,1956.24,1.04
59,20,80,0,0,0,"Male","United States","Independent contractor, freelancer, or self-employed","","Master's degree","Physics","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Other","","","","","Most of the time",75000,"USD",5,2,NA,"USD",1,1,1,75000,1956.24,0.0260832
34,60,5,35,0,0,"Male","Spain","Employed full-time","No","Professional degree","","3 to 5 years","Self-taught","Primary/elementary school","Internet-based","10 to 19 employees","Increased slightly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",80000,"EUR",2,3,2,"EUR",2,1.195826,0.98,95666.08,41250,0.431187313204429
34,60,5,35,0,0,"Male","Spain","Employed full-time","No","Professional degree","","3 to 5 years","Self-taught","Primary/elementary school","Internet-based","10 to 19 employees","Increased slightly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",80000,"EUR",2,3,2,"USD",1,1,0.02,80000,41250,0.515625
25,0,50,0,50,0,"Male","Brazil","Employed full-time","Sort of (Explain more)","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Academic","I don't know","Stayed the same","Don't know","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",1500,"BRL",5,2,10,"BRL",5,0.32135,0.91,482.025,60000,124.474871635289
25,0,50,0,50,0,"Male","Brazil","Employed full-time","Sort of (Explain more)","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Academic","I don't know","Stayed the same","Don't know","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",1500,"BRL",5,2,10,"EUR",2,1.195826,0.01,21524.868,60000,2.78747353990742
25,0,50,0,50,0,"Male","Brazil","Employed full-time","Sort of (Explain more)","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Academic","I don't know","Stayed the same","Don't know","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",1500,"BRL",5,2,10,"USD",1,1,0.07,18000,60000,3.33333333333333
32,30,30,10,20,10,"Male","Brazil","Employed full-time","Yes","Master's degree","Computer Science","3 to 5 years","University courses","A bachelor's degree","Academic","100 to 499 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",25000,"BRL",5,3,4,"BRL",5,0.32135,0.91,96405,60000,0.622374358176443
32,30,30,10,20,10,"Male","Brazil","Employed full-time","Yes","Master's degree","Computer Science","3 to 5 years","University courses","A bachelor's degree","Academic","100 to 499 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",25000,"BRL",5,3,4,"EUR",2,1.195826,0.01,29895.65,60000,2.00698094873334
32,30,30,10,20,10,"Male","Brazil","Employed full-time","Yes","Master's degree","Computer Science","3 to 5 years","University courses","A bachelor's degree","Academic","100 to 499 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",25000,"BRL",5,3,4,"USD",1,1,0.07,25000,60000,2.4
38,30,30,30,0,0,"Male","Hungary","Employed full-time","Sort of (Explain more)","Bachelor's degree","Computer Science","3 to 5 years","Self-taught","Primary/elementary school","Technology","20 to 99 employees","Increased slightly","3-5 years","I visited the company's Web site and found a job listing there","Sometimes",372000,"HUF",4,3,3,"HUF",26,0.003896,1,17391.744,14493.12,0.833333333333333
38,20,60,0,20,0,"Male","Brazil","Employed full-time","Sort of (Explain more)","Bachelor's degree","Information technology, networking, or system administration","Less than a year","Online courses (coursera, udemy, edx, etc.)","A master's degree","Technology","20 to 99 employees","Increased significantly","Less than one year","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",60000,"BRL",4,1,3,"BRL",5,0.32135,0.91,19281,60000,3.11187179088222
38,20,60,0,20,0,"Male","Brazil","Employed full-time","Sort of (Explain more)","Bachelor's degree","Information technology, networking, or system administration","Less than a year","Online courses (coursera, udemy, edx, etc.)","A master's degree","Technology","20 to 99 employees","Increased significantly","Less than one year","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",60000,"BRL",4,1,3,"EUR",2,1.195826,0.01,71749.56,60000,0.836242061972227
38,20,60,0,20,0,"Male","Brazil","Employed full-time","Sort of (Explain more)","Bachelor's degree","Information technology, networking, or system administration","Less than a year","Online courses (coursera, udemy, edx, etc.)","A master's degree","Technology","20 to 99 employees","Increased significantly","Less than one year","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",60000,"BRL",4,1,3,"USD",1,1,0.07,60000,60000,1
31,80,0,20,0,0,"Male","Russia","Independent contractor, freelancer, or self-employed","Sort of (Explain more)","Some college/university study without earning a bachelor's degree","Computer Science","6 to 10 years","Work","No education","CRM/Marketing","","","","","Always",840000,"RUB",3,4,NA,"EUR",2,1.195826,0.03,1004493.84,71749.56,0.0714285714285714
31,80,0,20,0,0,"Male","Russia","Independent contractor, freelancer, or self-employed","Sort of (Explain more)","Some college/university study without earning a bachelor's degree","Computer Science","6 to 10 years","Work","No education","CRM/Marketing","","","","","Always",840000,"RUB",3,4,NA,"RUB",6,0.017402,0.76,14617.68,71749.56,4.90840954241713
31,80,0,20,0,0,"Male","Russia","Independent contractor, freelancer, or self-employed","Sort of (Explain more)","Some college/university study without earning a bachelor's degree","Computer Science","6 to 10 years","Work","No education","CRM/Marketing","","","","","Always",840000,"RUB",3,4,NA,"USD",1,1,0.21,840000,71749.56,0.0854161428571429
